"MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
25.41,4.47,9.48,0.47,1.45,3.99,0.34,3.02,5.48,0.55,0.55,1.8,2.3,0.77,1.15,3.48,4.63,2.85,0.85,0.5,1.42,1.91,12.2,2025
25.46,4.6,9.6,0.48,1.4,3.77,0.35,3.2,5.83,0.55,0.56,1.86,2.36,0.78,1.08,3.47,4.54,2.89,0.78,0.55,1.37,1.94,12.45,2024
25.67,4.56,9.53,0.48,1.34,3.68,0.34,3.22,5.86,0.55,0.55,2.04,2.6,0.77,1.09,3.53,4.62,2.73,0.77,0.5,1.43,2.06,12.51,2023
25.98,4.5,9.71,0.47,1.42,3.94,0.34,3.08,5.76,0.54,0.54,1.87,2.4,0.78,1.05,3.68,4.74,2.79,0.83,0.49,1.42,2.02,12.29,2022
25.14,4.37,9.28,0.47,1.33,3.6,0.34,3.04,5.69,0.53,0.55,1.82,2.32,0.77,1.02,3.57,4.58,2.65,0.8,0.49,1.39,1.97,11.9,2021
25.44,4.45,9.61,0.46,1.34,3.68,0.35,3.11,5.94,0.52,0.54,1.99,2.54,0.77,1.02,3.63,4.65,2.69,0.81,0.5,1.49,2.07,12.21,2020
24.86,4.34,9.32,0.47,1.19,3.32,0.33,3.15,6,0.52,0.53,1.9,2.46,0.77,1.08,3.6,4.67,2.54,0.79,0.51,1.41,2.1,11.76,2019
24.82,4.14,8.92,0.47,1.1,3.01,0.32,3.04,5.92,0.51,0.53,1.74,2.25,0.76,0.99,3.48,4.46,2.4,0.8,0.5,1.39,1.99,11.12,2018
24.74,4.06,8.83,0.46,1.02,2.83,0.32,3.04,6,0.5,0.52,1.88,2.41,0.76,1.03,3.43,4.45,2.38,0.8,0.49,1.37,1.99,11.02,2017
24.66,3.95,8.68,0.46,0.88,2.47,0.31,3.07,6.21,0.49,0.51,1.82,2.4,0.75,1.09,3.45,4.53,2.26,0.81,0.52,1.41,2.04,10.59,2016
25.09,3.97,8.74,0.46,0.81,2.28,0.3,3.16,6.46,0.49,0.5,1.82,2.42,0.74,1.15,3.4,4.54,2.3,0.8,0.51,1.42,2.06,10.56,2015
25.73,4.1,8.95,0.46,0.83,2.3,0.3,3.26,6.65,0.49,0.51,1.97,2.59,0.75,1.14,3.4,4.54,2.39,0.83,0.5,1.48,2.12,10.99,2014
25.62,4.06,8.85,0.46,0.76,2.08,0.28,3.31,6.76,0.48,0.5,1.87,2.47,0.75,1.21,3.34,4.54,2.32,0.83,0.57,1.48,2.03,10.75,2013
25.31,3.91,8.64,0.45,0.68,1.93,0.29,3.23,6.71,0.48,0.49,1.81,2.39,0.74,1.2,3.24,4.44,2.22,0.81,0.54,1.44,2,10.31,2012
25.9,4.08,8.86,0.46,0.72,1.99,0.29,3.36,6.87,0.48,0.5,2.06,2.67,0.76,1.13,3.24,4.36,2.4,0.79,0.5,1.46,2.16,10.93,2011
26.21,4.17,9,0.46,0.7,1.98,0.28,3.47,7.02,0.49,0.5,2.08,2.72,0.75,1.18,3.37,4.54,2.34,0.79,0.52,1.47,2.19,11.13,2010
26.27,4.08,8.85,0.46,0.75,2.03,0.3,3.33,6.82,0.48,0.5,2.1,2.71,0.76,1.18,3.31,4.48,2.34,0.79,0.52,1.45,2.24,11.01,2009
26.24,4.13,8.97,0.46,0.73,2.01,0.28,3.39,6.96,0.48,0.5,2.1,2.76,0.75,1.2,3.35,4.54,2.39,0.8,0.5,1.46,2.22,11.09,2008
